iter	Passed	Remaining
0	2	222
1	4	202
2	5	192
3	7	178
4	9	187
5	11	182
6	13	182
7	15	178
8	17	176
9	19	173
10	21	170
11	22	168
12	24	165
13	26	163
14	28	161
15	30	158
16	32	157
17	34	155
18	36	153
19	38	152
20	39	149
21	41	147
22	43	145
23	45	143
24	47	141
25	49	139
26	50	137
27	52	135
28	54	133
29	56	132
30	58	130
31	60	128
32	62	126
33	63	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	114
39	74	112
40	76	110
41	77	106
42	78	104
43	79	101
44	81	99
45	82	96
46	83	94
47	84	91
48	85	89
49	86	86
50	87	83
51	88	81
52	89	79
53	89	76
54	90	74
55	91	71
56	92	69
57	92	67
58	93	65
59	94	62
60	95	60
61	95	58
62	96	56
63	97	54
64	97	52
65	98	50
66	99	48
67	99	46
68	100	45
69	101	43
70	101	41
71	102	39
72	102	38
73	103	36
74	104	34
75	104	33
76	105	31
77	105	29
78	106	28
79	106	26
80	107	25
81	107	23
82	108	22
83	108	20
84	109	19
85	109	17
86	110	16
87	110	15
88	111	13
89	111	12
90	112	11
91	112	9
92	113	8
93	113	7
94	114	6
95	114	4
96	115	3
97	115	2
98	116	1
99	116	0
