iter	Passed	Remaining
0	53	53645
1	55	27862
2	58	19602
3	60	15135
4	62	12455
5	65	10776
6	67	9538
7	69	8656
8	71	7876
9	73	7275
10	75	6762
11	76	6328
12	78	5991
13	80	5674
14	82	5413
15	84	5177
16	86	4976
17	87	4788
18	89	4624
19	91	4478
20	93	4351
21	95	4246
22	96	4119
23	98	4005
24	100	3911
25	101	3813
26	104	3750
27	105	3666
28	107	3603
29	109	3536
30	111	3485
31	113	3424
32	114	3366
33	117	3334
34	119	3287
35	120	3234
36	124	3234
37	126	3196
38	128	3167
39	130	3132
40	132	3101
41	134	3074
42	136	3045
43	138	3008
44	140	2981
45	142	2962
46	144	2932
47	146	2902
48	148	2876
49	150	2856
50	153	2847
51	155	2834
52	157	2817
53	160	2807
54	163	2802
55	165	2783
56	167	2766
57	169	2745
58	171	2731
59	173	2720
60	176	2709
61	178	2696
62	180	2679
63	182	2672
64	185	2662
65	187	2652
66	189	2645
67	192	2634
68	194	2622
69	196	2610
70	198	2598
71	201	2603
72	204	2590
73	206	2579
74	208	2566
75	210	2558
76	212	2549
77	214	2535
78	217	2533
79	219	2524
80	221	2516
81	223	2504
82	224	2482
83	226	2473
84	228	2465
85	231	2461
86	233	2453
87	235	2444
88	237	2434
89	240	2433
90	242	2426
91	244	2417
92	247	2413
93	250	2410
94	252	2403
95	254	2393
96	255	2382
97	257	2373
98	260	2367
99	262	2364
100	265	2360
101	267	2357
102	269	2350
103	271	2340
104	273	2330
105	275	2320
106	277	2314
107	279	2310
108	281	2305
109	284	2301
110	286	2295
111	288	2288
112	290	2277
113	292	2270
114	293	2259
115	295	2252
116	296	2240
117	298	2234
118	300	2228
119	302	2218
120	304	2208
121	305	2196
122	307	2189
123	308	2182
124	311	2178
125	312	2170
126	314	2162
127	316	2154
128	318	2150
129	320	2145
130	322	2139
131	324	2132
132	326	2127
133	327	2119
134	329	2114
135	332	2109
136	334	2103
137	335	2098
138	338	2097
139	340	2090
140	342	2084
141	343	2075
142	345	2070
143	347	2063
144	348	2056
145	350	2050
146	352	2047
147	354	2041
148	357	2039
149	358	2032
150	360	2026
151	361	2019
152	363	2012
153	365	2006
154	367	2002
155	369	1997
156	371	1995
157	373	1991
158	376	1991
159	378	1986
160	379	1978
161	382	1978
162	384	1974
163	386	1969
164	388	1964
165	390	1961
166	392	1957
167	395	1957
168	397	1952
169	398	1947
170	401	1945
171	403	1943
172	405	1937
173	407	1932
174	408	1927
175	410	1923
176	412	1919
177	414	1915
178	417	1912
179	418	1908
180	421	1906
181	423	1902
182	425	1898
183	427	1893
184	428	1889
185	430	1885
186	433	1882
187	436	1883
188	437	1878
189	439	1874
190	442	1872
191	444	1869
192	446	1866
193	448	1862
194	450	1859
195	453	1859
196	455	1855
197	456	1850
198	459	1849
199	461	1846
200	464	1844
201	466	1844
202	468	1840
203	470	1836
204	473	1836
205	475	1834
206	478	1832
207	480	1831
208	482	1827
209	485	1824
210	487	1822
211	489	1821
212	492	1820
213	495	1818
214	497	1815
215	499	1813
216	502	1811
217	503	1807
218	506	1806
219	508	1804
220	511	1801
221	512	1797
222	514	1794
223	516	1791
224	519	1787
225	521	1785
226	523	1783
227	525	1779
228	527	1775
229	529	1771
230	531	1769
231	533	1767
232	536	1765
233	538	1763
234	540	1759
235	542	1755
236	543	1751
237	545	1747
238	548	1745
239	550	1744
240	553	1743
241	555	1739
242	557	1735
243	558	1731
244	565	1742
245	567	1740
246	570	1738
247	572	1735
248	574	1732
249	576	1728
250	578	1725
251	580	1722
252	582	1719
253	584	1716
254	586	1712
255	588	1709
256	590	1706
257	592	1702
258	593	1699
259	595	1695
260	597	1691
261	598	1686
262	600	1681
263	601	1676
264	602	1671
265	604	1667
266	605	1662
267	607	1659
268	609	1656
269	611	1651
270	613	1649
271	614	1645
272	616	1642
273	618	1638
274	620	1635
275	621	1631
276	623	1628
277	625	1623
278	626	1619
279	628	1616
280	630	1612
281	631	1607
282	632	1603
283	634	1598
284	635	1594
285	637	1590
286	638	1586
287	641	1584
288	642	1580
289	644	1576
290	645	1572
291	647	1569
292	648	1564
293	649	1560
294	651	1556
295	654	1556
296	655	1552
297	657	1548
298	659	1545
299	660	1540
300	661	1536
301	662	1532
302	664	1527
303	665	1523
304	667	1519
305	668	1515
306	669	1511
307	671	1507
308	672	1504
309	673	1500
310	677	1501
311	683	1507
312	685	1504
313	687	1501
314	688	1497
315	690	1494
316	691	1490
317	693	1486
318	694	1482
319	696	1479
320	697	1475
321	699	1472
322	701	1469
323	702	1466
324	705	1464
325	706	1461
326	708	1457
327	709	1454
328	711	1450
329	713	1447
330	714	1444
331	716	1440
332	717	1437
333	719	1433
334	720	1430
335	724	1432
336	726	1429
337	727	1425
338	730	1423
339	732	1421
340	734	1418
341	735	1415
342	737	1412
343	739	1410
344	741	1407
345	743	1404
346	744	1401
347	746	1398
348	747	1394
349	749	1391
350	751	1388
351	752	1385
352	754	1382
353	756	1379
354	758	1377
355	759	1374
356	760	1370
357	762	1367
358	764	1364
359	765	1361
360	767	1359
361	769	1356
362	771	1353
363	772	1350
364	774	1346
365	775	1343
366	777	1340
367	779	1337
368	780	1334
369	781	1331
370	783	1327
371	784	1324
372	786	1321
373	787	1318
374	788	1314
375	790	1311
376	791	1308
377	793	1305
378	795	1303
379	797	1300
380	798	1297
381	800	1294
382	801	1291
383	803	1288
384	804	1285
385	805	1281
386	806	1278
387	807	1274
388	808	1270
389	809	1266
390	811	1263
391	812	1260
392	814	1258
393	816	1256
394	818	1253
395	820	1252
396	822	1249
397	824	1247
398	826	1245
399	828	1242
400	829	1239
401	831	1236
402	832	1233
403	833	1230
404	835	1227
405	836	1224
406	838	1221
407	839	1218
408	841	1215
409	842	1212
410	843	1209
411	845	1207
412	847	1204
413	849	1202
414	850	1199
415	852	1196
416	853	1193
417	855	1190
418	857	1188
419	858	1185
420	860	1183
421	861	1180
422	863	1178
